City,Nom,Adresse,Contact,phone,WhatsApp,phone2,Email,Coordinates,Lundi,,Mardi,,Mercredi,,Jeudi,,Vendredi ,,Samedi,,Dimanche
Casablanca,Mribeh Change,"N°37 Bd Dakhla Jamila 3 CD, Casablanca",,,,05 22 38 21 10,mribehchange@gmail.com,"33.5424948,-7.5794243",09:00–13:00,15:00-19:00,09:00–13:00,15:00-19:00,09:00–13:00,15:00-19:00,09:00–13:00,15:00-19:00,15:30-19:00,,Fermé,,Fermé
Casablanca,Sbata Change,"NR 96 Boulevard Dakhla CD JAMILA5, Casablanca",,06 61 48 37 96,06 61 48 37 96,05 22 59 76 78,changesbata2096@gmail.com,"33.5436396,-7.5785446",08:30-19:00,,08:30-19:00,,08:30-19:00,,08:30-19:00,,08:30-19:00,,08:30-19:00,,09:00-17:00
Casablanca,Laazib Cash,"N 1477, Bd Mohammed VI, Casablanca 25000",,06 78 09 95 06,06 78 09 95 06,05 22 56 66 88,laazibcash12@gmail.com,"33.545986,-7.583403",09:00-18:30,,09:00-18:30,,09:00-18:30,,09:00-18:30,,09:00-18:30,,09:00-18:30,,Fermé
Casablanca,Mega Change,"25 bd Al Qods , Casablanca",,,,05 22 21 14 23,,"33.5440418,-7.5860829",09:00-19:00,,09:00-19:00,,09:00-19:00,,09:00-19:00,,09:00-19:00,,09:00-19:00,,Fermé
Casablanca,Saraf Al inara,"6 bd Al Qods , Casablanca",,07 66 11 35 45,07 66 11 35 45,05 22 21 93 18,alinarachange@gmail.com,"33.5413798,-7.595552",09:00-20:00,,09:00-20:00,,09:00-20:00,,09:00-20:00,,09:00-20:00,,09:00-20:00,,10:00-19:00
Casablanca,Change boulevard Al Qods,582 Boulevard Al Qods,,06 22 63 43 35,06 22 63 43 35,05 22 21 10 34,change.boulevardalqods582@gmail.com,"33.5383602,-7.6015536",09:30–14:00,15:00-20:30,09:30–14:00,15:00-20:30,09:30–14:00,15:00-20:30,09:30–14:00,15:00-20:30,09:30–14:00,15:00-20:30,09:30–14:00,15:00-20:30,Fermé
Casablanca,AF Exchange,"Residence Tasmine Californie 2, Batiment P, Rue Hachmi Al Filali Ain Chok,Ccasablanca",,06 61 65 22 86,06 61 65 22 86,05 22 52 09 31,,"33.5274362,-7.6180663",09:00-22:00,,09:00-22:00,,09:00-22:00,,09:00-22:00,,09:00-22:00,,09:00-22:00,,10:00-16:00
Casablanca,Patio Change,"102 Boulevard Haifa, Casablanca",,07 70 99 19 08,06 61 58 38 50,05 22 25 72 42,chngepatio@gmail.com,"33.5282156,-7.6085027",08:30-22:30,,08:30-22:30,,08:30-22:30,,08:30-22:30,,08:30-22:30,,08:30-23:00,,10:00-23:00
Casablanca,Hay Chrifa Change,"Magasin n°22 Imm 403 Assakan Anik, Rue Qods, Casablanca",,06 00 49 99 45,06 90 13 01 41,06 90 13 01 41,changechrifa@gmail.com,"33.5339447,-7.6117594",09:00-20:00,,09:00-20:00,,09:00-20:00,,09:00-20:00,,09:00-20:00,,09:00-20:00,,Fermé
Casablanca,W€ echange ,Moroco Mall rdv juste à côté du magasin Parfois,,06 80 34 11 26,06 80 34 11 26,06 80 34 11 26,,"33.5764312,-7.7066068",10:00-22:00,,10:00-22:00,,10:00-22:00,,10:00-22:00,,10:00-22:00,,10:00-22:00,,Fermé
