Ville,Bureau de change,Adresse,Code postal,Téléphone,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche,Lien,Site Web/Email,Longitude,Latitude,Image 1,Image 2,Image 3
Agadir,international exchange agadir,Complexe igoudar n20B,80000,05 28 84 87 14,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,09:00–23:00,https://g.co/kgs/Xz8YqRk,,30.414597,-9.6825786,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npFNBrJ3OUvwYooI07D06Pi69GBxVXfR0-MbY0R5hGz-eKSToix12mclXp5KPFfz2GTwwzgDBGtBtEk8_iTqjMtNadiR22mblOFOyQ9JOhsLRQ6prUP7K9Pd-8WEpC2KuLxVcwr4g=s680-w680-h510-rw,https://lh3.googleusercontent.com/p/AF1QipMoglP47u4NwnES3ci574qAmIxO-qYQmr6TV0lj=s680-w680-h510-rw,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noO-iFaqK6yv0i7y3WQDfrkOgw4_T_WGMnuz5GIbUPj4dOb0_KQnqE6NQaT7ve4QCBiOhWB9q1xLmIBPPWOmtnzx7uctwKKyaxG1iiBhSywIj96hgxiJl2DWqDO2pbZZ679ZaDZ=s680-w680-h510-rw
Agadir,Bureau de change Ô12,"12 immeuble sud bahia, Av. Hassan II",80000,05 28 82 82 15,09:00–20:30,09:00–20:30,09:00–20:30,09:00–20:30,09:00–20:30,09:00–20:30,09:00–20:30,https://g.co/kgs/BUkcnHK,,30.4228226,-9.6851643,https://lh3.googleusercontent.com/p/AF1QipMUE4dFAdoLFqP8y-cBaz6-Op0xsKOIdJJ9Bn3z=s680-w680-h510-rw,https://lh3.googleusercontent.com/p/AF1QipNkQMVVWNcfrJGftraz_gaIPWlLljeqAfdLI0q_=s680-w680-h510-rw,https://lh3.googleusercontent.com/p/AF1QipPBwMg19I5Wl3fg-d_Ah-K3EZtzO--OxqfZNPCB=s680-w680-h510-rw
Agadir,Bureau De Change Hay Essalam,"N 116, Imm 17 résidence Al Amal 2 Hay",80000,05 28 22 18 25,9:30–20:45,9:30–20:45,9:30–20:45,9:30–20:45,9:30–20:45,09:45–20:30,Fermé,https://maps.app.goo.gl/rwbkQwKWVSzXVops6,,30.3981742,-9.5515625,https://maps.app.goo.gl/tM3pk8xHutWcy68T8,https://maps.app.goo.gl/o4A8pzxWpJsf33Qe6,https://maps.app.goo.gl/f4KpfiFYz5skgWZg6
Agadir,Agadir Skambio TIVOLI,"EN FACE PALAIS ROYALE, N 10 BLOC A COMPLEXE TIVOLI, Boulevard du 20 Aout",80050,05 28 82 67 40,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,https://maps.app.goo.gl/UaypMBK7csZfsjE76,,30.4086348,-9.5951983,https://maps.app.goo.gl/kqvYAaZjZZc1KFrf8,https://maps.app.goo.gl/96sxQcdZpUyjRgnB6,https://maps.app.goo.gl/okS42vBgjTUQoJjg9
Agadir,Yes change Agadir,"Complexe Tivoli, Bloc E N°26, Boulevard du 20 Aout",80000,05 28 84 89 75,08:30–21:30,08:30–21:30,08:30–21:30,08:30–21:30,08:30–21:30,09:00–21:00,09:00–21:00,https://maps.app.goo.gl/e2dnmeyAaYkjTm5w5,,30.4088795,-9.5953523,https://maps.app.goo.gl/2SFPwJX2iknwkd7MA,https://maps.app.goo.gl/W2zvdcApsaNKM8Sg9,https://maps.app.goo.gl/xoa4x5yBJc2x5NpFA
Agadir,Yes change Agadir,"N°43 immeuble D1, Ave du Prince Moulay Abdallah",80000,05 28 82 52 12,08:30–21:30,08:30–21:30,08:30–21:30,08:30–21:30,08:30–21:30,09:00–21:00,09:00–21:00,https://maps.app.goo.gl/hDkFB7RuSPnB55J47,,30.4210209,-9.5973184,https://maps.app.goo.gl/JaY7jNzJE8gCvvov7,https://maps.app.goo.gl/CRRbUGSe5jSx18VP6,https://maps.app.goo.gl/HV57roNeRiMbE6zm6
Agadir,Yes change Agadir,"N 16, Immeuble Oumlil, Av. Hassan II",80000,05 28 82 52 10,08:30–21:30,08:30–21:30,08:30–21:30,08:30–21:30,08:30–21:30,09:00–21:00,09:00–21:00,https://maps.app.goo.gl/anHt9rTxdRiRYbpS6,,30.4183367,-9.5968855,https://maps.app.goo.gl/NaoyDL7AJqqQzzBj9,,
Agadir,Skambio money,"N 1C complexe igoudar, Boulevard du 20 Aout",80000,05 28 82 67 40,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,https://maps.app.goo.gl/BwheJdvxmaQTrHkV8,,30.4130744,-9.5995417,https://maps.app.goo.gl/EjfLbuxwPe61GXEi9,https://maps.app.goo.gl/sEgg6gbbZrES8wWy9,
Agadir,Skambio MARINA,N° 2 résidence 43 complexe Marina,80000,05 28 82 67 40,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,https://maps.app.goo.gl/1cEQKgT4BKLaeQF76,,30.4245172,-9.6153315,https://maps.app.goo.gl/1PEYLQ3GxrnDAVPh9,https://maps.app.goo.gl/UnLU43cXwy2n5WE76,https://maps.app.goo.gl/ZB1wET33tpCWui5y5
Agadir,yes change 2,"appart hotel tagadirt Local, 35 B Boulevard du 20 Aout",80010,05 28 82 52 01,08:30–21:30,08:30–21:30,08:30–21:30,08:30–21:30,08:30–21:30,09:00–21:00,09:00–21:00,https://maps.app.goo.gl/zUx9GznCSznJVonZ6,,30.4143345,-9.6013168,https://maps.app.goo.gl/xP5Co31Ga26aw7hd6,https://maps.app.goo.gl/Vk4KUELv4enibBLj7,
Agadir,Sous Change,"C9CR+M4W, Rue La Plage",80000,05 28 82 64 43,10:00–22:30,10:00–22:30,10:00–22:30,10:00–22:30,10:00–22:30,10:00–22:30,10:00–22:30,https://maps.app.goo.gl/VVQXPqTJ3Xn7a3gMA,,30.4217357,-9.6096622,https://maps.app.goo.gl/SXVis7n5Vh3Hdooq6,https://maps.app.goo.gl/38gh234Rp396quGi7,
Agadir,ind change,CC4G+V36,80000,05 28 21 20 12,"09:00–13:00
15:00–19:00","09:00–13:00
15:00–19:00","09:00–13:00
15:00–19:00","09:00–13:00
15:00–19:00","09:00–13:00
15:00–19:00","09:00–13:00
15:00–19:00",Fermé,https://maps.app.goo.gl/9WGWCqjskePTxAZr9,,30.4071529,-9.5748442,https://maps.app.goo.gl/4EUj2198isF4RMGt9,https://maps.app.goo.gl/SD3cXKNuZvSfyMXr5,https://maps.app.goo.gl/S3r8HWDdfoT9Kxra8
Agadir,change err,56 Av. Président Kennedy,80000,05 28 82 84 52,08:30–22:00,08:30–22:00,08:30–22:00,08:30–22:00,"08:30–13:15
14:15–22:00",09:30–22:00,10:00–22:00,https://maps.app.goo.gl/nfewWvqUEtSq61Lk6,,30.422688,-9.5946596,https://maps.app.goo.gl/qq2RvGjZRWpPDKFn7,https://maps.app.goo.gl/LLjbT8bLsxLuKyAy6,https://maps.app.goo.gl/TB2T2oqrh5V5Yi3A6
Agadir,Ataouhid Change,N 19، AV TIMITAR MAGASIN,80000,05 28 28 83 77,"09:00–12:30
14:00–19:00","09:00–12:30
14:00–19:00","09:00–12:30
14:00–19:00","09:00–12:30
14:00–19:00","09:00–12:30
14:00–19:00","09:00–12:30
14:00–19:00",Fermé,https://maps.app.goo.gl/K7opvgBF7cUFjMEi7,,30.3809593,-9.5043115,https://maps.app.goo.gl/CdrZtM7tFQ8t4SHz9,,
Agadir,Western Currency Exchange,"CC79+P6X, Rue des Souks",80000,05 28 21 04 44,Mqt,Mqt,Mqt,Mqt,Mqt,Mqt,Mqt,https://maps.app.goo.gl/r2dW1c56avGtBAQv6,,30.4143638,-9.5819042,https://maps.app.goo.gl/VjJkNFE8iC48eeLb8,,
Agadir,Clichy Change,N° 8 Av des FAR El menzah,80000,05 28 82 87 57,08:30–20:00,08:30–20:00,08:30–20:00,08:30–20:00,08:30–20:00,08:30–20:00,Fermé,https://maps.app.goo.gl/UDAb8Jd2JYtbGtwr8,,30.428411,-9.5887265,https://maps.app.goo.gl/AXjmVKrZVjzWgKxs5,,
Agadir,GLOBAL EXCHANGE FOREIGN EXCHANGE MAROc,AEROPORT AGADIR AL MASSIRA,,"0522786444
0800094444",24h,24h,24h,24h,24h,24h,24h,,,,,,,
Agadir,Ind Change,Résidence Amal Souss II Bd Hassan 1er magasin N°03 RDC,80000,05 28 21 28 49,Fermé temporairement,,,,,,,https://maps.app.goo.gl/hP45VypqPg5Y3wJ27,,30.4130354,-9.5667258,,,
Aït Melloul,ILLIGH TRANSFERT,"Bloc 2 n°194 Agdal, Route de Tiznit",80150,05 28 24 42 78,08:30–18:30,08:30–18:30,08:30–18:30,08:30–18:30,08:30–18:30,08:30–18:30,Fermé,https://g.co/kgs/zGChDQn,illightransfert.ma,30.3358869,-9.5862893,,,
Aït Melloul,صرف العملات Exchange,"8FPW+FCP, Unnamed Road",80000,,,,,,,,,,,,,,,
Asilah,Place Zellaka,FX87+PHG,,05 39 41 87 26,09:30–20:30,09:30–20:30,09:30–20:30,09:30–20:30,09:30–20:30,09:30–20:30,09:30–20:30,https://g.co/kgs/Twqw6m2,,35.4667812,-6.118444,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr8ogzyX_3VCbPuH8dMt9T7gSq8t7FWd9Q6iSqR03d24FGxuutLS5ZJAS4zyrjjkOUbh2i3_21G9Y-H38brrA0dIAzL_mK5vmmDPaYPgBh6bXhNHjOs-d1r9ZNTxqh0di58VxjxhpXh1ZQ=s2704-w2704-h1640-rw,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqDI67BJydQ0acBVPAgzRUYlogbZGF7PmIfzxWOs0DY4T6UpBbssaw_cH1RV_4sunvKWdueU5h5WNYfkmSSR1EHOKL4dsJpsvcrNA8QWS8v4s9cVcyxwjB-xHSZ04Zs-78lBxHE=s2704-w2704-h1640-rw,
Asilah,STE SALIM CASH,BAB RMEL N° 29 ANCIENNE VILLE ASILAH,,,,,,,,,,,,,,,,
Asilah,TADLAOUI CHANGE,76 AV HASSAN II ASILAH,,,,,,,,,,,,,,,,
Asilah,SOCIETE ASSARF,RUE YOUSEF IBN TACHAFINE N° 9 ASILAH,,06 64 95 49 45,,,,,,,,,,,,,,
Asilah,ASSILAH CHANGE,RUE ATTIJARA N°61 ASILAH,,05 39 41 70 11,,,,,,,,,,,,,,
Asilah,RACHID CHANGE,AVENUE HASSAN II N°37,,05 39 41 62 31,"10:00–14:30
17:00–22:00","10:00–14:30
17:00–22:00","10:00–14:30
17:00–22:00","10:00–14:30
17:00–22:00","10:00–14:30
17:00–22:00","10:00–14:30
17:00–22:00","10:00–14:30
17:00–22:00",https://g.co/kgs/pg9nAsx,,35.4657396,-6.1191602,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npRuQGRLmdDUwSuNNIIAZMo9ZHFr8fnUNzRGyvmLHUCvI-Co2Eno-X6dj3Ok-8lY3OnTInRvS-wjMsUP53dnFK3Jq-B5VmKDXVHDlou0l0pecpB7Ve8frZTud22aZZ7MZT5wiKJ=s680-w680-h510-rw,,
AL HOCEIMA,OCHEX,26 RUE OKBA BNOU NAFIA AL HOCEIMA,,"0539984441
0539984442",,,,,,,,,,,,,,
