City,Nom,Adresse,Contact,phone,WhatsApp,phone2,Email,Coordinates,Lundi,,Mardi,,Mercredi,,Jeudi,,Vendredi ,,Samedi,,Dimanche,
Agadir,Tiar Change ,"9F58+6W9, Inezgane 80000",Rachid chahboun,07 82 26 36 00,07 50 09 67 80,05 28 83 81 35,stiarchange@gmail.com,"30.3580935,-9.532826,40",09:00–13:30,15:00-19:00,09:00–13:30,15:00-19:00,09:00–13:30,15:00-19:00,09:00–13:30,15:00-19:00,09:00–13:00,15:00-19:00,09:00–13:30,15:00-19:00,Fermé,
Agadir,Inzegane change,"34 Ave Mohamed V, Inezgane 86350",,06 34 74 81 24,06 34 74 81 24,05 28 33 05 83,,"30.3574363,-9.5333996,40",08:30-19:00,,08:30-19:00,,08:30-19:00,,08:30-19:00,,08:30-19:00,,09:00–13:00,15:00-19:00,09:00–13:00,15:00-19:00
Agadir,Samlali change,"Avenue Al Mokhtar Soussi NR 85 BIS, Inezgane 80360",,,05 28 33 18 18,05 28 33 18 18,,"30.3601356,-9.5291192,40",09:00–13:30,15:00-19:00,09:00–13:30,15:00-19:00,09:00–13:30,15:00-19:00,09:00–13:30,15:00-19:00,09:00–13:00,15:00-19:00,09:00–13:30,15:00-19:00,09:00–13:30,15:00-19:00
Agadir,Skambio marina,"N° 2 résidence 43 complexe Marina, Agadir 80000",,06 61 39 04 45,06 61 39 04 45,05 28 82 02 61,,"30.4246239,-9.6153248,65",08:30-22:30,,08:30-22:30,,08:30-22:30,,08:30-22:30,,08:30-22:30,,08:30-22:30,,08:30-22:30,
Agadir,Yes change tivoli,"Complexe Tivoli، N°26 Boulevard du 20 Aout, Agadir 80000",,,06 62 24 32 68,05 28 84 89 75,,"30.4089965,-9.5958774,15",08:30-22:00,,08:30-22:00,,08:30-22:00,,08:30-22:00,,09:00–13:30,14:30-22:00,09:00-21:00,,09:00-21:00,
Agadir,Skambio tivoli,"EN FACE PALAIS ROYALE, N 10 BLOC A COMPLEXE TIVOLI, Boulevard du 20 Aout, Agadir 80050",,06 61 39 04 45,06 61 39 04 45,05 28 84 15 27,,"30.4086747,-9.5954034,110",08:30-00:00,,08:30-00:00,,08:30-00:00,,08:30-00:00,,08:30-00:00,,08:30-00:00,,08:30-00:00,
Agadir,Skambio change,"N 1C complexe igoudar, Boulevard du 20 Aout, Agadir 80000",,06 61 39 04 45,06 61 39 04 45,05 28 82 67 40,,"30.4131297,-9.5996805,79",08:30-00:00,,08:30-00:00,,08:30-00:00,,08:30-00:00,,08:30-00:00,,08:30-00:00,,08:30-00:00,
Agadir,International exchange Agadir,"complexe igoudar n20B, Agadir 80000",,06 61 86 00 55,06 61 86 00 55,05 28 84 87 14,,"30.41455,-9.6002863,40",09:00-23:00,,09:00-23:00,,09:00-23:00,,09:00-23:00,,09:00-23:00,,09:00-23:00,,09:00-23:00,
Agadir,Souss change,"C9CR+M4W, Rue La Plage, Agadir 80000",,,,05 28 82 64 43,,"30.4218058,-9.6098193,40",10:00-00:00,,10:00-00:00,,10:00-00:00,,10:00-00:00,,10:00-00:00,,10:00-00:00,,10:00-00:00,
Agadir,Yes change founty,"N 31, immeuble VII KHALIJ ANNAKHIL, Agadir 80010",,06 62 24 32 68,06 62 24 32 68,05 28 82 52 01,,"30.3989799,-9.587811,158",08:30-22:00,,08:30-22:00,,08:30-22:00,,08:30-22:00,,08:30–13:30,14:30-22:00,09:00-21:00,,09:00-21:00,
