City,Nom,Adresse,Contact,phone,WhatsApp,phone2,Email,Coordinates,Lundi,,Mardi,,Mercredi,,Jeudi,,Vendredi ,,Samedi,,Dimanche,
Casablanca,Sidi Maarouf Change,"N 2، RESIDENCE ENNAIM، ROUTE 1029 Av. Abou Bakr el Kadiri, Casablanca 20190",,,,05 22 58 46 66,,"33.529076,-7.6491396",09:00-19:00 ,,09:00-19:00 ,,09:00-19:00 ,,09:00-19:00 ,,09:00-13:00,15:00-19:00,09:00-19:00 ,,Fermé,
Casablanca,Change Al Mostakbal ,"Avenue abou bakr al kadiri, P3007, complexe résidentiel al moustakbal imm 3 gh 7 n 07, Sidi Maarouf, Casablanca 20520",,,,05 22 32 13 52,,"33.5256783,-7.6504469",09:00:20:00 ,,09:00:20:00 ,,09:00:20:00 ,,09:00:20:00 ,,09:00:20:00 ,,09:00:20:00 ,,Fermé,
Casablanca,Casanearshore change,442 lotissement communal bd Abdel Malek Essadi,,06 17 16 70 05,06 17 16 70 05,05 22 06 15 13,Casanearshorechange.1990@gmail.com,"33.5231908,-7.6447564",08:30-20:00,,08:30-20:00,,08:30-20:00,,08:30-20:00,,08:30-20:00,,08:30-20:00,,Fermé,
Casablanca,Exchange Beauséjour ,"67, Bd Omar Al Khiam Res LongChamps Imm D Mag3 RDC, Casablanca",,07 78 47 28 14,07 78 47 28 14,05 22 25 69 47,,"33.5671219,-7.6456756",09:00-19:00,,09:00-19:00,,09:00-19:00,,09:00-19:00,,09:00-19:00,,09:00-18:00,,Fermé,
Casablanca,Mahy Change,"71 Bd d'Anfa, Casablanca 20250",,06 61 93 77 74,06 61 93 77 74,05 20 19 19 17,hyamchange@gmail.com,"33.5930254,-7.6312332",09:00:20:00 ,,09:00:20:00 ,,09:00:20:00 ,,09:00:20:00 ,,09:00:20:00 ,,09:00:20:00 ,,Fermé,
Casablanca,Al Jazeera change,"246 Bd Mohammed Zerktouni, Casablanca 20000",,,06 87 11 20 79,05 22 29 48 57,jazeera@protomail.com,"33.5899007,-7.6345967",09:00-21:00,,09:00-21:00,,09:00-21:00,,09:00-21:00,,09:00-21:00,,09:00-21:00,,Fermé,
Casablanca,Labrija Change,"325 ang rue ali ibn abdrazzak et, Boulevard Bir Anzarane, Casablanca 20100",,,,05 22 98 76 82,,"33.5899007,-7.6345967",09:00-19:00 ,,09:00-19:00 ,,09:00-19:00 ,,09:00-19:00 ,,09:00-19:00 ,,09:00-19:00 ,,Fermé,
Casablanca,Toto Rayan, angle bd Brahim Roudani rue Montaigne n°9,,06 65 96 59 56,06 05 75 57 91,,,"33.5798269,-7.6402089",09:00:20:00 ,,09:00:20:00 ,,09:00:20:00 ,,09:00:20:00 ,,09:00:20:00 ,,09:00:20:00 ,,Fermé,
Casablanca,Universal Exchange ,"Rés. Windsor, Angle Bd Brahim Roudani et, Rue Montaigne, Casablanca 20370",,06 66 03 35 32,06 66 03 35 32,05 22 98 89 91,uexchangepoint@gmail.com,"33.5776342,-7.6371085",09:00-21:00,,09:00-21:00,,09:00-21:00,,09:00-21:00,,09:00-21:00,,09:00-21:00,,Fermé,
Casablanca,Valfleuri Change,"11 Rue Le Titien, Casablanca 20390",,,,05 22 98 73 28,,"33.575695,-7.6370325",09:00-19:00 ,,09:00-19:00 ,,09:00-19:00 ,,09:00-19:00 ,,09:00-19:00 ,,09:00-19:00 ,,Fermé,
Casablanca,Ouazzani Change,"Angle Rue El Ghoul Fechtali et, Rue des Racines, Casablanca 20200",,06 82 40 52 04,06 82 40 52 04,05 20 11 56 38,,"33.5743352,-7.6379579",09:00-19:00 ,,09:00-19:00 ,,09:00-19:00 ,,09:00-19:00 ,,09:00-19:00 ,,09:00-19:00 ,,Fermé,
Casablanca,Los Amigos Change,"2 rue Abdeslam Amir, Casablanca",,06 59 48 07 77,06 59 48 07 77,05 20 26 26 27,,"33.5675241,-7.6405018",09:00:20:00 ,,09:00:20:00 ,,09:00:20:00 ,,09:00:20:00 ,,09:00:20:00 ,,09:00:20:00 ,,Fermé,
Casablanca,Beausejour Exchange," 67 bd Omar Al Khayam, Casablanca",,07 78 47 28 14,07 78 47 28 14,05 22 25 69 47,beausejour.change@gmail.com,"33.5671219,-7.6456756",09:00-19:00 ,,09:00-19:00 ,,09:00-19:00 ,,09:00-19:00 ,,09:00-19:00 ,,09:00-19:00 ,,Fermé,
Ouarzazate,Tarmigt Exchange,"N9, Tarmigt 45000",,06 60 00 64 85,06 60 00 64 85,,,"30.9024895,-6.911701",09:00–14:00,15:30-20:00,09:00–14:00,15:30-20:00,09:00–14:00,15:30-20:00,09:00–14:00,15:30-20:00,09:00–14:00,15:30-20:00,09:00–14:00,15:30-20:00,09:00–14:00,15:30-20:00
